competition,journey,date,venue,local,away,local_score,away_score,system,trainer
league,1,27/01/2024,a,San Lorenzo,Lanus,0,2,4-3-3,Ricardo Zielinski
league,2,31/01/2024,h,Lanus,Newells,0,2,4-3-3,Ricardo Zielinski
league,3,05/02/2024,a,Godoy Cruz,Lanus,1,0,4-3-3,Ricardo Zielinski
league,4,11/02/2024,h,Lanus,Platense,3,0,4-3-3,Ricardo Zielinski
league,5,14/02/2024,a,Sarmiento,Lanus,0,1,4-3-3,Ricardo Zielinski
league,6,19/02/2024,h,Lanus,Boca,2,1,4-3-3,Ricardo Zielinski
league,7,26/02/2024,h,Lanus,Banfield,1,1,4-3-3,Ricardo Zielinski
league,8,03/03/2024,a,Defensa y Justicia,Lanus,0,4,4-3-3,Ricardo Zielinski
league,9,07/03/2024,h,Lanus,Central Cordoba,0,1,4-3-3,Ricardo Zielinski
league,10,11/03/2024,a,Tigre,Lanus,2,3,4-3-3,Ricardo Zielinski
Copa Argentina,1,15/03/2024,n,Lanus,El Porvenir,0,1,4-3-3,Ricardo Zielinski
league,11,21/03/2024,a,Belgrano,Lanus,0,1,5-3-2,Ricardo Zielinski
league,12,28/03/2024,h,Lanus,Union,2,2,4-3-3,Ricardo Zielinski
Sudamericana Cup,1,04/04/2024,a,Cuiabá,Lanus,1,1,4-3-3,Ricardo Zielinski
league,13,07/04/2024,a,Racing,Lanus,2,0,4-3-3,Ricardo Zielinski
Sudamericana Cup
